display_name,username,tweet_text,profile_img,post_url,post_date,reply_count,retweet_count,like_count
kikok,@kakacica22,"@mandiricare min saya isi emoney tapi gak masuk , gimana ya?",https://pbs.twimg.com/profile_images/1540353795548360704/9GmIHOWS_normal.jpg,,2024-02-15T16:22:50.000Z,3,2,1
. INFO MANDIRI,@Halco1983,Hai kakak mohon info ke wa ya agar kendala nya kamu dapat kami bantu proses langsung :-) untuk layanan Mandiri hanya melalui wa http://lnk.ec/lnfo.mandiriTkz -layla,https://pbs.twimg.com/profile_images/1757718488377135104/-Pb6PJth_normal.jpg,https://twitter.com/Halco1983/status/1758171897924370475,2024-02-15T16:50:20.000Z,0,0,0
. INFO MANDIRI,@Halco1983,"Untuk tindak lanjut. Boleh infoin detail kendalanya ke WhatsApp ya kak,untuk respon hanya melalui WhatsApp http://lnk.ec/lnfo.mandiriAdm-layla",https://pbs.twimg.com/profile_images/1757718488377135104/-Pb6PJth_normal.jpg,https://twitter.com/Halco1983/status/1758171918979727860,2024-02-15T16:50:25.000Z,0,0,0
MANDIRI CALL,@oy86v50aym0jkn2,"Untuk cek kendala kamu silakan dikonfirmasi melalui WhatsApp kami, untuk penanganan lebih lanjut https://wa.link/jki7hv ID CS ADM~ Saidi",https://pbs.twimg.com/profile_images/1757913608242237440/9o2Bdp6n_normal.jpg,https://twitter.com/oy86v50aym0jkn2/status/1758177281728790969,2024-02-15T17:11:43.000Z,0,0,0
Isna yang itu,@isnayaif,@mandiricare min cek DM ya. Thanks.,https://pbs.twimg.com/profile_images/1755036608041193472/HLU9Mp95_normal.jpg,,2024-02-15T16:22:16.000Z,0,2,1
odette!,@xinejghafax,"@mandiricare min, cek dm ya, dan saya mohon dengan amat sangat dm saya dibaca bukan dibalas pakai template tanpa dibaca",https://pbs.twimg.com/profile_images/1471901033823555585/HSY_VfLL_normal.jpg,,2024-02-15T15:51:15.000Z,5,0,0
Mandiri Care,@mandiricare,"@xinejghafax Halo Sahabat @xinejghafax, mohon maaf atas ketidaknyamanannya. Utk perihal tsb sdh dibalas via DM, kami sarankan melakukan pengecekan lebih lanjut. Semoga prosesnya berjalan dgn lancar. Tks~Syarif",https://pbs.twimg.com/profile_images/1501039949264605187/__bKFZ_p_normal.jpg,https://twitter.com/mandiricare/status/1758166951862632515,2024-02-15T16:30:41.000Z,0,0,0
odette!,@xinejghafax,s3nya kapan ya ,https://pbs.twimg.com/profile_images/1471901033823555585/HSY_VfLL_normal.jpg,https://twitter.com/xinejghafax/status/1758130923521163758,2024-02-15T14:07:31.000Z,0,0,0
𝗸𝗶𝘄 (from the vault),@saturnudes,@mandiricare min cek DM saya dong ,https://pbs.twimg.com/profile_images/1727243080259325952/_nwdpTcp_normal.jpg,,2024-02-15T14:48:57.000Z,4,2,1
Mandiri Care,@mandiricare,"@saturnudes  Halo Sahabat @saturnudes, mohon maaf atas ketidaknyamanannya. Untuk perihal kendala yg Sahabat alami, sudah kami informasikan melalui DM ya. (1)",https://pbs.twimg.com/profile_images/1501039949264605187/__bKFZ_p_normal.jpg,https://twitter.com/mandiricare/status/1758167097203655104,2024-02-15T16:31:15.000Z,1,0,0
