display_name,username,tweet_text,profile_img,post_url,post_date,reply_count,retweet_count,like_count
chika,@chikabowo,"@mandiricare @bankmandiri saya isi saldo emoney di Gopay statusnya berhasil tapi saldo emoney tidak bertambah, pihak @gopayindonesia malah nyuruh saya lapor ke bank mandiri TIKET PELAPORAN di GOPAY #180295751",https://pbs.twimg.com/profile_images/1522633046113288193/kCK9xp73_normal.jpg,https://twitter.com/chikabowo/status/1752163731424104854,2024-01-30T02:56:01.000Z,7,1,1
Mandiri Care,@mandiricare,@_masboi Livin’ by Mandiri dengan cara klik logo headset di bagian kanan atas dan ikuti langkah selanjutnya. Semoga kendala yang Sahabat alami dapat terselesaikan. Tks~Ceri (end),https://pbs.twimg.com/profile_images/1501039949264605187/__bKFZ_p_normal.jpg,https://twitter.com/mandiricare/status/1752161045404430757,2024-01-30T02:45:21.000Z,0,0,0
Mandiri Care,@mandiricare,"@_masboi Apabila membutuhkan informasi lebih lanjut, Sahabat dapat menghubungi contact point Bank Mandiri melalui halaman utama aplikasi (4)",https://pbs.twimg.com/profile_images/1501039949264605187/__bKFZ_p_normal.jpg,https://twitter.com/mandiricare/status/1752161000823091633,2024-01-30T02:45:10.000Z,1,0,0
Mandiri Care,@mandiricare,@_masboi  Akun resmi Bank Mandiri bercentang emas (verified) yang terletak disisi kanan nama akun (centang emas tidak terdapat di dalam gambar profile picture/posisi lainnya). (3),https://pbs.twimg.com/profile_images/1501039949264605187/__bKFZ_p_normal.jpg,https://twitter.com/mandiricare/status/1752160951397462473,2024-01-30T02:44:59.000Z,1,0,0
Mandiri Care,@mandiricare,@_masboi Sbg tambahan informasi Sahabat mohon berhati-hati dan tidak memberikan data rahasia kepada pihak manapun yang mengatasnamakan Bank Mandiri. (2),https://pbs.twimg.com/profile_images/1501039949264605187/__bKFZ_p_normal.jpg,https://twitter.com/mandiricare/status/1752160908913299733,2024-01-30T02:44:48.000Z,1,0,0
mas boi,@_masboi,Sudah update saldo tetap blm masup,https://pbs.twimg.com/profile_images/1852865245/profile_image_1330183497452_normal.jpg,https://twitter.com/_masboi/status/1752159329250422950,2024-01-30T02:38:32.000Z,4,0,0
Mandiri Care,@mandiricare,@_masboi atau melalui whatsapp official Bank Mandiri 0811-84-14000 bercentang hijau. Semoga prosesnya berjalan dgn lancar. Tks~Hawa (End),https://pbs.twimg.com/profile_images/1501039949264605187/__bKFZ_p_normal.jpg,https://twitter.com/mandiricare/status/1752156634380644672,2024-01-30T02:27:49.000Z,0,0,0
Mandiri Care,@mandiricare,@_masboi Pastikan Sahabat hanya berinteraksi dengan akun resmi Bank Mandiri bercentang emas (verified) di sebelah nama akun dan bukan dalam foto profil (6),https://pbs.twimg.com/profile_images/1501039949264605187/__bKFZ_p_normal.jpg,https://twitter.com/mandiricare/status/1752156619763560525,2024-01-30T02:27:46.000Z,1,0,0
Mandiri Care,@mandiricare,"@_masboi - Letakan/tempelkan kartu e-money di reader/dongle yang berwarna kuning yang berlogo e-money - Transaksi berhasil, kertas struk tercetak, saldo di e-money bertambah (5)",https://pbs.twimg.com/profile_images/1501039949264605187/__bKFZ_p_normal.jpg,https://twitter.com/mandiricare/status/1752156580186046769,2024-01-30T02:27:36.000Z,2,0,0
Mandiri Care,@mandiricare,"@_masboi - Lalu pilih menu uang elektronik, kemudian pilih e-money - Pilih menu update saldo (4)",https://pbs.twimg.com/profile_images/1501039949264605187/__bKFZ_p_normal.jpg,https://twitter.com/mandiricare/status/1752156565426385139,2024-01-30T02:27:33.000Z,1,0,0
Mandiri Care,@mandiricare,@_masboi Sebagai informasi untuk update saldo e-money melalui mesin Mandiri ATM dapat dilakukan dengan cara sbb : - Tekan tombol hijau/accept pada keyboard mesin atm (tanpa memasukan kartu atm mandiri) (3),https://pbs.twimg.com/profile_images/1501039949264605187/__bKFZ_p_normal.jpg,https://twitter.com/mandiricare/status/1752156550360375474,2024-01-30T02:27:29.000Z,1,0,0
Mandiri Care,@mandiricare,"@_masboi Apabila belum melakukan update saldo maka dpt melakukan update saldo melalui app Livin' by Mandiri pada device yg memiliki fitur NFC, Mandiri EDC dan Mandiri ATM. (2)",https://pbs.twimg.com/profile_images/1501039949264605187/__bKFZ_p_normal.jpg,https://twitter.com/mandiricare/status/1752156530626166826,2024-01-30T02:27:25.000Z,1,0,0
Febri,@febriihere,Cek dm min,https://pbs.twimg.com/profile_images/1587923676501921793/naOSD7sw_normal.jpg,https://twitter.com/febriihere/status/1752154001834221711,2024-01-30T02:17:22.000Z,8,1,0
Mandiri Care,@mandiricare,@benderanggggg  Pastikan Sahabat hanya berinteraksi dengan akun resmi Bank Mandiri bercentang emas (verified) di sebelah nama akun dan bukan dalam foto profil atau melalui whatsapp official Bank Mandiri 0811-84-14000 bercentang hijau. Tetap jaga kesehatan. Tks~Jasmine (end),https://pbs.twimg.com/profile_images/1501039949264605187/__bKFZ_p_normal.jpg,https://twitter.com/mandiricare/status/1752148527608963239,2024-01-30T01:55:36.000Z,0,0,1
iin,@benderanggggg,@mandiricare kindly cek dm min,https://pbs.twimg.com/profile_images/1409399768804036608/nRJ20yzd_normal.jpg,https://twitter.com/benderanggggg/status/1752147573614452963,2024-01-30T01:51:49.000Z,5,1,0
Pejuang Rupiah,@pemburuuangrp,@mandiricare Pagi..Mohon cek DM Min..Thanks,https://pbs.twimg.com/profile_images/1571436382933094400/ah-RNdy9_normal.jpg,https://twitter.com/pemburuuangrp/status/1752133726287638813,2024-01-30T00:56:48.000Z,0,0,0
vnd ♟,@hpnsmt,Sudah saya kirim pesan Inbox/DM ya kak,https://pbs.twimg.com/profile_images/1735220855322583040/L_5B4suP_normal.jpg,https://twitter.com/hpnsmt/status/1752122963305132408,2024-01-30T00:14:01.000Z,0,1,0
vnd ♟,@hpnsmt,"@mandiricare selamat pagi kak, kalau untuk mengetahui nomor telepon yang aktif bisa melalui telepon CS/kirim email/cek di ATM/ harus datang langsung ke kantor cabang?",https://pbs.twimg.com/profile_images/1735220855322583040/L_5B4suP_normal.jpg,https://twitter.com/hpnsmt/status/1752120419010908503,2024-01-30T00:03:55.000Z,2,1,0
